frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
344,63.5887,,,54.6950,,,10.02,1.64
345,63.6522,,,54.7903,,,12.14,1.27
346,63.6982,,,54.8636,,,9.88,1.09
347,63.7699,,13.0103,54.9713,,41.9611,18.90,0.99
348,63.8163,,12.8430,55.0486,,42.2056,12.74,0.95
349,63.8679,,12.6361,55.1328,,42.4967,14.33,1.02
350,63.9171,,12.5173,55.2126,,42.6953,12.18,0.94
351,63.9818,,37.8002,55.3215,,17.5214,17.51,1.01
352,64.0436,,,55.4569,,,19.30,1.05
353,64.0916,,,55.5527,,,10.95,0.99
354,64.1443,,,55.6527,,,8.89,1.36
355,64.2036,,,55.7705,,,18.23,1.80
356,64.2575,,,55.8975,,,11.42,1.13
357,64.3124,,,56.0098,,,17.56,1.22
358,64.3613,,12.0437,56.1165,,44.0727,14.16,1.20
359,64.4169,,12.4787,56.2229,,43.7442,19.09,2.17
360,64.4758,,21.4267,56.3538,,34.9271,14.47,1.04
361,64.5365,,,56.4894,,,13.28,1.39
362,64.5943,,,56.6256,,,12.50,0.91
363,64.6486,,,56.7442,,,17.98,2.01
364,64.7158,,,56.9220,,,18.77,1.69
365,64.7793,,,57.0582,,,21.35,2.40
366,64.8438,,,57.2155,,,16.17,0.95
367,64.9026,,,57.3393,,,20.90,2.51
368,64.9646,,12.0974,57.4770,,45.3796,17.91,1.02
369,65.0139,,12.0190,57.5675,,45.5485,10.68,1.08
370,65.0712,,,57.6862,,,17.89,1.13
371,65.1324,,,57.7895,,,10.58,1.32
372,65.1793,,,57.8857,,,10.38,1.42
373,65.2407,,,58.0077,,,21.87,2.66
374,65.2904,,,58.0975,,,12.61,3.00
375,65.3483,,,58.2101,,,12.37,1.19
376,65.4052,,,58.3354,,,13.03,1.15
377,65.4532,,,58.4323,,,11.37,1.23
378,65.5089,,,58.5351,,,8.37,1.33
379,65.5623,,11.8321,58.6470,,46.8148,10.56,1.09
380,65.6148,,11.6850,58.7489,,47.0639,11.29,0.92
381,65.6624,,11.9147,58.8442,,46.9295,10.57,0.98
382,65.7099,,,58.9415,,,10.11,1.21
383,65.7645,,,59.0457,,,17.91,1.88
384,65.8192,,12.1476,59.1720,,47.0243,14.08,1.09
385,65.8776,,,59.2994,,,13.09,1.08
386,65.9295,,12.3508,59.3929,,47.0421,14.32,0.99
387,65.9837,,,59.5239,,,11.12,1.79
388,66.0327,,,59.6266,,,12.77,2.24
389,66.0937,,,59.7370,,,10.43,1.26
390,66.1502,,,59.8536,,,12.47,1.05
391,66.2020,,,59.9350,,,14.49,1.10
392,66.2605,,,59.9992,,,14.19,1.22
393,66.3121,,12.7159,60.0107,,47.2948,9.46,1.12
394,66.3630,,,59.9813,,,13.49,2.22
395,66.4128,,,59.9174,,,9.15,1.19
